CID,Canonical_SMILES,prediction_label,prediction_score
121510227,C1CNCC(C1O)NC(=O)C2=C(NN=C2)C3=CC=CS3,1,0.8773192575444326
171102765,CN(C1=NC=CS1)C(=O)C2=CC(=CN2)C3=NC(=NC=C3C(F)(F)F)NC4CCCNC4,1,0.8765845183446048
67844029,COC(=O)CCC1=CC=C(C=C1)C2=CN=C(N2)CCC3CCNCC3,1,0.8763297556253191
120891258,COCC1(CCNCC1)CNC(=O)C2=CN=C(S2)C3=CSC=C3.Cl.Cl,1,0.8756734362555622
91123933,COC(=O)CCC1=C(C=CC(=C1)C(=O)NC2=NC=C(C=C2)Cl)NC(=O)C3CCNCC3,1,0.8754434174440449
91603359,CCN1C2=NC=C(C(=C2C=N1)NC3(CCNCC3)C(=O)N)C(=O)NCC4=C(C=C(C=C4)C)C5=CSC=C5,1,0.8745204913214273
70732904,CC1=NC(=NC=C1C(=O)NCC2=NN3CCNCC3=C2)N4CCN(CC4)C,1,0.8741064350472696
67644087,CC(C)(C)OC(=O)N1CC(N=C1C2CCNCC2)(C(=O)N3CCCCC3)OCCC(=O)OC,1,0.8740109105401876
145038927,CC=C1CCN=C(C1=CC(=CN)C2=CC(=CN=C2)NC(=O)CC3CCNCC3)C4=NC5=C(N4)C=CN=C5C6=CC=CS6,1,0.8739399575418345
91549814,CC(C)(C)C1=CN=C(O1)CC2=CC=C(S2)NC(=O)C3CCNC(C3)C4=NC=CS4,1,0.8738866056253503
142310558,CCOC(=O)C1=C(C=C(C=C1)OC2=C(C=C3CCNC(C3=C2)CC(=O)NC4=NC=CS4)OCCN)F,1,0.8737804500250532
122582678,CN1CCN(CC1)C(=O)C2=C(C=C(C=C2)NC(=O)C3=NN=C4C(=C3)N(CCN4)CC5=C(C=CC(=C5)Cl)Cl)OC,1,0.8734798486316159
67844005,COC(=O)CCC1=NN=C(S1)C2=CN=C(N=C2)CCC3CCNCC3.Cl,1,0.8732030749409251
141711364,CC1=NC=C(C=C1)CC2=CC(=NC3=C2SC=C3)C(=O)NC4CCCNC4=O,1,0.8731385336247328
68563150,COC1=CC=CC(=C1)CN(C2CCNCC2)C(=O)NC3=C(C=C(C=C3)C4=CNN=C4)OCCO,1,0.8726046348512719
56888230,CC1=NC=C2CNCCC2=C1CNC(=O)C3=C(C=CS3)S(=O)(=O)N,1,0.8722639067044602
59325325,CNC(=O)C1=CC=C(C=C1)NC2=NC3=CC(=C(C=C3C=N2)C4=NC=CS4)OCC5CCNCC5,1,0.8716495866929805
69368762,CN1C(=C(C=N1)Br)C2=C(C=CC(=C2)NC(=O)CCC3=NC=CS3)OCCC4CCCN4,1,0.8712151680032918
110089519,C1CNCCC1CC2=NC=NC=C2C(=O)NC3=NC=CS3,1,0.8711702959481389
101468014,CC1CC2CC3=C(C=C(C=N3)C(=O)CCC(=O)OC)C4(C1)C2CCCN4,1,0.8710936085432442
56897229,CC(C)NC1=NC=C(C=N1)CN2CCNC(C2)C(=O)N3CCN(CC3)C,1,0.871017567866061
96517560,COCCN1C=C(C=N1)NC(=O)N2CCNC(=O)C2C3=CC=CS3,1,0.8706533568047656
124120200,CCNCC1CCC(C1)NCCC(=O)NC2=C(C3=C(S2)CNC(C3)C)C4=NC5=C(S4)C=CN=C5,1,0.8705424480206985
75168408,COC(=O)CCC1=NOC(=C1)C2=CC(=CN=C2)OCC3CCN3,1,0.8701085740479075
118262471,CC(C)(C)OC(=O)N(CCF)C1=CN=C(C=C1)NC2=NC3=C(C=C2)C4=C(N3)CCNC4=O,1,0.8696788348616963
23245137,COC(=O)CCC1=CC(=C(N=C1)N)OC(=O)CCC2CCNCC2,1,0.8693795542922925
70778216,C1CN(C(=O)N1)CCNC(=O)C2=CN=C(NC2=O)C3=CC=CS3,1,0.8693015912228028
120602440,CC1CC(CCN1)NC(=O)C(C)SCC2=NC=C(O2)C3=CC=C(C=C3)Cl.Cl.Cl,1,0.8691245450404472
126536416,CCCCC(CC1CCNC1)NC(=O)C2=CN=C(S2)N3CCN(CC3)C,1,0.869065712831157
155709250,CCNC(=O)C1=CN=C(N=C1[NH2+]C2=CC=CC(=N2)C3(CC3)C#N)NC4=CC5=C(C=C4)C6(CC6)NCC5,1,0.8689300856352424
156060441,CCCC(CCC(=O)OC)OC1=NN2C(=CN=C2C(=N1)N)CC3CCNCC3,1,0.8686270178577099
155317637,CC1(C2=CC(=C(C=C2CCN1)OC)OC3=CC(=CN=C3)F)CC(=O)NC4=NC=CS4,1,0.8685325294013585
58440215,C1CNCC(C1NC2=C(C=NC(=C2)CC3=NC=CS3)C(=O)N)F,1,0.8684067269803063
163991239,CC(C)NCCC(=O)NC1=C(C2=C(S1)CCCC2)C3=NC(=CS3)C4=CCNCC4,1,0.8678917982843815
122446528,CNC(=O)COC1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)NC4(CCNC4)CC5=NC=CS5)Cl,1,0.8678623241486614
69340408,CCOC(=O)C1=CN=C(C=C1)NC2(CCCNC2)CC3CCCCC3,1,0.8677905844679961
122446402,CN(C)CCNC(=O)COC1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)NC4CCNCC4CC5=NC=CS5)Cl,1,0.8675006796273004
