gene,exp,rank,cid,screening_score,best_affinity_kcal_mol,best_mode_rmsd_ub,num_poses
CTNNB1,06,1,75076830,0.9008000963370156,-7.869,0.0,9
CTNNB1,06,2,44819571,0.9778178491184812,-7.063,0.0,9
CTNNB1,06,3,69167437,0.9181676638943236,-6.796,0.0,9
CTNNB1,06,4,166156634,0.8981875285671237,-6.582,0.0,9
CTNNB1,06,5,17402902,0.8949612807438234,-6.175,0.0,9
