gene,exp,rank,cid,screening_score,best_affinity_kcal_mol,best_mode_rmsd_ub,num_poses
MYC,07,1,134600220,0.9643212,-8.472,0.0,9
MYC,07,2,124118010,0.9658951,-8.243,0.0,9
MYC,07,3,134587525,0.96567464,-7.4,0.0,9
MYC,07,4,155565427,0.9643212,-7.104,0.0,9
MYC,07,5,155148070,0.9667991,-7.075,0.0,9
